Name,Job/Est Date (next service date),Status,Customer,Service Location,Gallons,Notes For Techs,Frequency
Amari Dinkins,01/26/2026,Dispatched,DKW-GCSD-FANS-ROBERT E. CASHION ELEMENTARY,"DKW-GCSD-FANS-ROBERT E. CASHION ELEMENTARY1500 FORK SHOALS ROAD GREENVILLE, SC 29605",6000,First entrance- go all the way around to door five in grass by trash can- Not behind a gate takes 2 pump trucks and each need 100-120 ft hose- prefer 4 inch 7200 gallons 8 wife 8 deep and 15 long,12
Amari Dinkins,01/20/2026,Dispatched,DKW-GCSD-FANS-SIMPSONVILLE ELEMENTARY,"DKW-GCSD-FANS-SIMPSONVILLE ELEMENTARY200 MORTON AVENUE SIMPSONVILLE, SC 29681","6000
",Make first left do not go to front of school main entrance located in back,12
Amari Dinkins,02/25/2026,Scheduled,DKW-Goodfellas Grill and Bar,"630 Hwy 378 Lexington, SC 29072",1500,,12
Amari Dinkins,03/09/2026,Scheduled,DKW-Hardee's #1501664,"1791 J a Cochran Byp Chester, SC 29706",1000,back center behind speaker hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/21/2026,Dispatched,DKW-Hardee's #649,"10005 Dorchester Rd Summerville, SC 29485",1000, hose: Tanker:   ServiceTime: ,16
Amari Dinkins,03/04/2026,Scheduled,DKW-Hardee's #649,"10005 Dorchester Rd Summerville, SC 29485",1000, hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/21/2026,Dispatched,DKW-Hardee's #817,"1402 N Main St Summerville, SC 29483",1000,,12
Amari Dinkins,03/04/2026,Scheduled,DKW-Hardee's #817,"1402 N Main St Summerville, SC 29483",1000,,12
Amari Dinkins,01/05/2026,Dispatched,DKW-J Peters - Chapin,"912 Chapin Road Chapin, SC  29036",1500,,12
Amari Dinkins,03/30/2026,Scheduled,DKW-J Peters - Chapin,"912 Chapin Road Chapin, SC  29036",1500,,12
Amari Dinkins,01/09/2026,Dispatched,DKW-KFC #H343005,"105 S Goose Creek Blvd Goose Creek, SC 29445",1000,one lid behind fence hose: Tanker:   ServiceTime: ,16
Amari Dinkins,01/14/2026,Dispatched,DKW-KFC #H343009,"9580 Highway 78 Ladson, SC 29456",1000,,12
Amari Dinkins,03/24/2026,Scheduled,DKW-KFC #H434007,"10170 Dorchester Rd Summerville, SC 29488",2000,,12
Amari Dinkins,03/31/2026,Scheduled,DKW-Krystal's #003-  Peach Orchard,"2537 Peach Orchard Rd Augusta, GA 30906",2000,,12
Amari Dinkins,01/17/2026,Dispatched,DKW-Lowes #270,"10048 Dorchester Rd Summerville, SC 29485",2000, hose: Tanker:   ServiceTime: ,18
Amari Dinkins,03/14/2026,Scheduled,DKW-Lowes #270,"10048 Dorchester Rd Summerville, SC 29485",2000, hose: Tanker:   ServiceTime: ,18
Amari Dinkins,01/01/2026,Dispatched,DKW-Palmetto Flats,"DKW-Palmetto Flats975 BACONS BRIDGE ROAD SUMMERVILLESC, 29485 ",1000,2 manholes right next to the walk in out back,12
Amari Dinkins,01/08/2026,Closed and Complete,DKW-Piggly Wiggly - Camden,"50 East Dekalb Street Camden, SC 29020",1000, hose: Tanker:   ServiceTime: ,18
Amari Dinkins,01/28/2026,Dispatched,DKW-Piggly Wiggly #157,"9616 Hwy 78  Ladson, SC 29456",2500, hose: Tanker:   ServiceTime: ,14
Amari Dinkins,01/29/2026,Dispatched,DKW-Piggly Wiggly #181,"100 West Main Street Moncks Corner, SC 29461",2000, hose: Tanker:   ServiceTime: ,18
Amari Dinkins,03/22/2026,Scheduled,DKW-Pizza Hut #013676 Orangeburg,"941 Chestnut St. Orangeburg, SC 29115-3505",30,,26
Amari Dinkins,02/19/2026,Scheduled,DKW-Pizza Hut #2031,"2804 Wrightsboro Rd Augusta, GA 30909",1000,"located about 15 feet from back door in parking lot hose:Not specified Tanker: Unknown  ServiceTime:
Inspector must be on site. MIchael Hopkins text or call him 45 minutes prior to arrival  ‪(706) 836-9742‬ between 8-4 weekdays",12
Amari Dinkins,01/27/2026,Scheduled,DKW-Prohibition,"DKW-Prohibition1556 Main Street Columbia, SC 29201",1700,,12
Amari Dinkins,01/29/2026,Dispatched,DKW-R1 - Columbia High School,"1701 Westchester Drive Columbia, SC 29210",1500,back of kitchen in driveway hose: Tanker:   ServiceTime: ,12
Amari Dinkins,02/04/2026,Scheduled,DKW-R1 - William S. Sandel Elementary School,"2700 Seminole Road Columbia, SC 29210",1500,,12
Amari Dinkins,03/05/2026,Scheduled,DKW-Red Robin #547 - Mullins Cross,"4241 Washington Rd Evans, GA 30809",2000,,12
Amari Dinkins,03/06/2026,Scheduled,DKW-Red Robin #577 - Columbiana Ma,"100 Columbiana Cir Ste 1024 Columbia, SC 29212",1500,,12
Amari Dinkins,01/16/2026,Dispatched,DKW-Red Robin #667 - Columbia,"247 Forum Dr Columbia, SC 29229",1500,side parking area hose:75 Tanker: yes  ServiceTime: anytime,16
Amari Dinkins,03/13/2026,Scheduled,DKW-Red Robin #667 - Columbia,"247 Forum Dr Columbia, SC 29229",1500,side parking area hose:75 Tanker: yes  ServiceTime: anytime,16
Amari Dinkins,01/12/2026,Dispatched,DKW-Refuel 1056,"2520 North Main Street Summerville, SC  29486",1000,,12
Amari Dinkins,03/02/2026,Scheduled,DKW-San Jose-Piney Grove,"DKW-San Jose-Piney Grove498 Piney Grove Rd Columbia, SC 29210",1000,,12
Amari Dinkins,03/17/2026,Scheduled,DKW-Signature Catering,"991 First Street South Columbia, SC 29209",1000, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,01/28/2026,Dispatched,DKW-Sonic Drive-in #2968,"9920 Dorchester Road Summerville, SC 29456",1000,,12
Amari Dinkins,01/14/2026,Dispatched,DKW-Sonic Drive-in #5644,"105 GRANDVIEW DRIVE SUMMERVILLE, SC 29483",1000,,12
Amari Dinkins,01/13/2026,Dispatched,DKW-Sprenger Healthcare- Okatie,"60 Okatie Village Dr Okatie, SC 29909",2500,,12
Amari Dinkins,01/16/2026,Scheduled,DKW-Sprenger Healthcare- Port Royal,"1810 Richmond Ave Port Royal, SC 29935",1000,,12
Amari Dinkins,01/06/2026,Dispatched,DKW-Taco Mundo-Vista (FKA Liberty Tap Room),"DKW-Taco Mundo-Vista (FKA Liberty Tap Room)828 Gervais Street Columbia, SC 29201",1500,,12
Amari Dinkins,03/31/2026,Scheduled,DKW-Taco Mundo-Vista (FKA Liberty Tap Room),"DKW-Taco Mundo-Vista (FKA Liberty Tap Room)828 Gervais Street Columbia, SC 29201",1500,,12
Amari Dinkins,01/16/2026,Dispatched,DKW-Texas Roadhouse #105,"DKW-Texas Roadhouse #1058304 Two Notch Rd Columbia, SC 29223",6000,,12
Amari Dinkins,01/09/2026,Closed and Complete,DKW-Texas Roadhouse #642,"2691 David H McLeod Blvd Florence, SC 29501",3500,in front of dumpster hose:30 Tanker: Yes: if early  ServiceTime: ,12
Amari Dinkins,01/08/2026,Closed and Complete,DKW-The Habit Burger #416,"1135 Broad Street Sumter, SC 29150",1500," hose: Tanker:   ServiceTime: 

WO Received ",12
Amari Dinkins,01/08/2026,Scheduled,DKW-The Peach Cobbler Factory,"DKW-The Peach Cobbler Factory5570 Sunset Boulevard Lexington, SC 29072",50,,WC
Amari Dinkins,01/05/2026,Scheduled,DKW-US Wings & Deli -Broad River,"DKW-US Wings & Deli -Broad River3315 Broad River Rd Columbia, SC 29210-5433",1000,,12
Amari Dinkins,03/02/2026,Scheduled,DKW-US Wings & Deli -Broad River,"DKW-US Wings & Deli -Broad River3315 Broad River Rd Columbia, SC 29210-5433",1000,,12
Amari Dinkins,01/08/2026,Scheduled,DKW-US Wings & Deli- Hard Scrabble,"DKW-US Wings & Deli- Hard Scrabble4760 Hard Scrabble Rd Ste 104 Columbia, SC 29229-8625",1500,,12
Amari Dinkins,03/05/2026,Scheduled,DKW-US Wings & Deli- Hard Scrabble,"DKW-US Wings & Deli- Hard Scrabble4760 Hard Scrabble Rd Ste 104 Columbia, SC 29229-8625",1500,,12
Amari Dinkins,02/23/2026,Dispatched,DKW-US Wings & Deli- West Beltline,"DKW-US Wings & Deli- West Beltline4105 W Beltline Blvd Columbia, SC 29204-1508",1000,,12
Amari Dinkins,01/29/2026,Dispatched,DKW-Wingstop #51503,"25 Bluffton Rd Pritchardville, SC 29910",1000,,12
Amari Dinkins,03/02/2026,Scheduled,DKW-WLF #655,"3355 Deans Bridge Rd Augusta, GA 30906",3000,Location has two traps for a total of 3000 gallons: one at 1000 and  one at 2000.  hose: Tanker:   ServiceTime: ,18
Amari Dinkins,01/15/2026,Dispatched,DKW-WLF #658,"3931 Byrnes Dr Saint Stephen, SC 29479",1000, hose: Tanker:   ServiceTime: ,12
Amari Dinkins,01/09/2026,Closed and Complete,DKW-WLF #659,"2300 Pamplico Hwy Florence, SC 29505",1000,BACK CENTER hose:50 Tanker: YES  ServiceTime: ,18
Amari Dinkins,02/20/2026,Scheduled,DKW-WLF #659,"2300 Pamplico Hwy Florence, SC 29505",1000,BACK CENTER hose:50 Tanker: YES  ServiceTime: ,18
Amari Dinkins,02/18/2026,Scheduled,DKW-WLF #669,"525 S Ebenezer Rd Florence, SC 29501",1500,back door hose:50 Tanker: yes  ServiceTime: anytime,18
Amari Dinkins,03/30/2026,Scheduled,DKW-WLF #695,"208 W 6th St Waynesboro, GA 30830",2000, hose: Tanker:   ServiceTime: ,18
Amari Dinkins,03/06/2026,Scheduled,DKW-Zaxby's 1311,"3591 St. Matthews Road Orangeburg, SC 29118",1500,"Trap in mulch at back of building, have to block drive thru to service.  Service before 10 am",12
Amari Dinkins,01/13/2026,Dispatched,DKW-Zaxby's 14301,"433 St. James Avenue Goose Creek, SC 29445",1000,,12
Amari Dinkins,03/20/2026,Scheduled,DKW-Zaxby's 3001,"821 Knox Abbott Drive Cayce, SC 29033","2000
two traps 1500 gallon main trap and 500 gallon trap for dumpster", hose:Not specified Tanker: Unknown  ServiceTime: ,12
Augusta Route,03/09/2026,Scheduled,DKW-Applebee's #1025662,"11120 Abercorn St Savannah, GA 31419",1000,,12
Augusta Route,02/11/2026,Scheduled,DKW-Applebee's #1025667,"587 Al Henderson Blvd Savannah, GA 31419",2000,Two 1000 gallon tanks,12
Augusta Route,02/02/2026,Scheduled,DKW-Applebee's #1169085,"106 Tanger Outlets Blvd Pooler, GA 31322",2500,,12
Augusta Route,03/30/2026,Scheduled,DKW-BTJ Wings,"3697 Windsor Spring Road Hephzibah, GA 30815",1500,,12
Augusta Route,02/03/2026,Scheduled,DKW-Buffalo Wild Wings #0246,"1553 Baytree Rd Valdosta, GA 31602",2500, hose: Tanker:   ServiceTime: ,20
Augusta Route,01/08/2026,Scheduled,DKW-Buffalo Wild Wings #0484,"442 Northside Dr E Statesboro, GA 30458",3000,,12
Augusta Route,01/08/2026,Closed and Complete,DKW-Buffalo Wild Wings #0567,"1323 Benton Blvd Pooler, GA 31322",3000,,12
Augusta Route,03/18/2026,Scheduled,DKW-Buffalo Wild Wings #0693,"1301 US Highway 82 W Tifton, GA 31793",2500,,12
Augusta Route,03/24/2026,Scheduled,DKW-Captain D's,"161 Tanger Outlets Blvd Pooler, GA 31322",1000,,12
Augusta Route,01/08/2026,Closed and Complete,DKW-Carlitos Mexican Bar & Grill,"1014 US-80 Pooler, Georgia 31322-2114",1500,,12
Augusta Route,01/08/2026,Closed and Complete,DKW-Culver's of Pooler,"121 Tanger Outlets Blvd Pooler, GA 31322",2500,,12
Augusta Route,01/23/2026,Scheduled,DKW-Food World #793,"DKW-Food World #793620 Fair Rd Statesboro, GA 30458",2000,,12
Augusta Route,03/25/2026,Scheduled,DKW-Hardee's #2993,"2901 N Ashley St Valdosta, GA 31602",3000,"behind restaurant hose:50 Tanker: no  ServiceTime: early as possible
2- 1500 traps, trap located behind restaurant",16
Augusta Route,02/24/2026,Scheduled,DKW-Hardee's #3900,"816 S Patterson St Valdosta, GA 31601",3000,"BEHIND RESTAURANT hose:50 Tanker: no  ServiceTime: early as possible
2- 1500 gallon size traps.",16
Augusta Route,02/11/2026,Scheduled,DKW-Hooters #1100,"4 Gateway Blvd W Savannah, GA 31419",1000,,12
Augusta Route,03/27/2026,Scheduled,DKW-KFC #L765-025,"302 S Main St Swainsboro, GA 30401",1000,,12
Augusta Route,02/18/2026,Scheduled,DKW-KJ's #613,"2512 Tobacco Rd Hephzibah, GA 30815",1000, hose: Tanker:   ServiceTime: ,18
Augusta Route,01/02/2026,Scheduled,DKW-Outback Steakhouse #1135,"1824 Club House Dr Valdosta, Georgia 31601-3500",3000,"New tank (s) installed- confirm location and trap size next service.
2-1500 gallon size traps",12
Augusta Route,03/27/2026,Scheduled,DKW-Outback Steakhouse #1135,"1824 Club House Dr Valdosta, Georgia 31601-3500",3000,"New tank (s) installed- confirm location and trap size next service.
2-1500 gallon size traps",12
Augusta Route,03/10/2026,Scheduled,DKW-Red Lobster #0010595,"Red Lobster #00105951179 N St Augustine Rd Valdosta, Georgia 31601-3533",3500,Leave manifest on site,12
Augusta Route,02/23/2026,Scheduled,DKW-Sonny's BBQ,"1701 Norman Dr Valdosta, GA 31601",1000,,12
Augusta Route,02/03/2026,Scheduled,DKW-WLF #649,"2508 Ga Highway 88 Hephzibah, GA 30815",2 traps total 3000,two traps for a total of 3000 gallons hose: Tanker:   ServiceTime: ,18
Augusta Route,03/31/2026,Scheduled,DKW-WLF #649,"2508 Ga Highway 88 Hephzibah, GA 30815",2 traps total 3000,two traps for a total of 3000 gallons hose: Tanker:   ServiceTime: ,18
Augusta Route,03/31/2026,Scheduled,DKW-WLF #690,"200A S Main St Wrens, GA 30833",1500," hose: Tanker:   ServiceTime: 
at loading dock",18
CHRLS Route,03/12/2026,Scheduled,DKW-Applebee's #1136,"88 OLD TROLLEY RD SUMMERVILLE, SC ",1000,"The Lid location is on the back dock area which is enclosed. Access is available daily after 9:00am by the receiving door. We receive a food delivery on Tues & Fri mornings so those days need to be blocked out to avoid delays.

Thank you,
Mike Van Horn Sr.
Call: 330.540.0269",12
CHRLS Route,01/02/2026,Dispatched,DKW-Applebee's #1150,"640 REMBERT C DENNIS BLVD MONCKS CORNER, SC ",1500,,12
CHRLS Route,01/20/2026,Dispatched,DKW-Barberitos,"1739 MAYBANK HWY SUITE A CHARLESTON, SC 29412",1000,"located on left side of building, use back entrance",12
CHRLS Route,02/22/2026,Scheduled,DKW-BCS - Berkeley Elementary School,"715 Highway 6 Moncks Corner, SC 29461",1500,,12
CHRLS Route,01/16/2026,Scheduled,DKW-BCS - Bowen's Corner Elementary,"1173 Williams Lane Hanahan, SC 29410",1000, hose: Tanker:   ServiceTime: ,24
CHRLS Route,01/16/2026,Scheduled,DKW-BCS - College Park Elementary School,"100 Davidson Drive Ladson, SC 29456",1500, hose: Tanker:   ServiceTime: ,24
CHRLS Route,02/22/2026,Scheduled,DKW-BCS - Cross High School,"1293 Old Highway 6 Cross, SC 29436",1500,,12
CHRLS Route,01/24/2026,Dispatched,DKW-BCS - Daniel Island School,"2365 Daniel Island Drive Charleston, SC 29492",2000, hose: Tanker:   ServiceTime: ,24
CHRLS Route,03/25/2026,Scheduled,DKW-BCS - Goose Creek High School,"1137 Red Bank Road Goose Creek, SC 29445",1500,,12
